List of female tennis players - Wikipedia 
========================================= 

Name    |    Nationality           |           Birth     |     Death     |     Notes
Daphne Akhurst Cozens | Australia | 1903 | 1933 | 
Marjorie Cox Crawford | Australia |  |  | Doubles: 1932 Australian champion ◌ Mixed doubles: 1931/1932/1933 Australian champion
Annabel Croft | United Kingdom | 1966 |  | Ranked world No. 24 in singles in 1985
Isabel Cueto | West Germany | 1968 |  | Ranked world No. 20 in singles in 1989 and world No. 77 in doubles in 1987
Joan Curry | United Kingdom |  |  | Ranked world No. 9 at the end of 1949 • 1949/1952 French Championships quarterfinalist
Eleni Daniilidou | Greece | 1982 |  | Ranked world No. 14 in singles in 2003 and world No. 21 in doubles in 2007
Rosa-Maria Reyes Darmon | Mexico | 1939 |  | 1957 Wimbledon quarterfinalist • 1958 French Championships quarterfinalist
Kimiko Date-Krumm | Japan | 1970 |  | Ranked world No. 4 in singles in 1995 and world No. 33 in doubles in 1992
Lindsay Davenport | United States | 1976 |  | 
Barbara Scofield | United States | 1926 |  | Ranked world No. 5 at the end of the year in 1950 • 1950 French Championships semifinalist
Nathalie Dechy | France | 1979 |  | Ranked world No. 11 in singles in 2006 and world No. 8 in doubles in 2007
Casey Dellacqua | Australia | 1985 |  | Ranked world No. 26 in singles in 2014 and world No. 5 in doubles in 2015 • 2011 French Open mixed doubles champion •
Elena Dementieva | Russia | 1981 |  | Ranked world No. 3 in singles in 2009 and world No. 5 in doubles in 2003 ◌ Singles: 2008 Olympic gold medalist • 2004 French Open finalist • 2004 US Open finalist • 2009 Australian Open semifinalist • 2008/2009 Wimbledon semifinalist ◌ Doubles: 2002 WTA Finals champion
Lottie Dod | United Kingdom | 1871 | 1960 | 
Jelena Dokić | Australia | 1983 |  | Ranked world No. 4 in singles and world No. 10 in doubles in 2002 ◌ Singles: 2000 Wimbledon semifinalist • 2009 Australian Open quarterfinalist • 2002 French Open quarterfinalist
Ruxandra Dragomir Ilie | Romania | 1972 |  | Ranked world No. 15 in singles and world No. 21 in doubles in 1997
Gisela Dulko | Argentina | 1985 |  | Ranked world No. 26 in singles in 2005 and world No. 1 in doubles in 2010 ◌ Doubles: 2011 Australian Open champion • 2010 WTA Finals champion
Annette Van Zyl Du Plooy | South Africa | 1943 |  | Ranked world No. 6 at the end of the year in 1965 and 1966 • 1966 French Championships mixed doubles champion
Margaret Osborne duPont | United States | 1918 | 2012 | 
Jo Durie | United Kingdom | 1960 |  | Ranked world No. 5 in 1984 ◌ Singles: 1983 French Open semifinalist • 1983 US Open semifinalist • 1983 Australian Open quarterfinalist • 1984 Wimbledon quarterfinalist ◌ Mixed doubles: 1991 Australian champion • 1987 Wimbledon champion
Françoise Durr | France | 1942 |  | 
Robyn Ebbern | Australia | 1944 |  | Ranked world No. 9 at the end of the year in 1964 • 1963 French Championships quarterfinalist • 1962/1963 Australian Championships women's doubles champion • 1963 U.S. Championships women's doubles champion • 1963 Australian Championships mixed doubles champion (shared - final abandoned because of rain)
Katja Ebbinghaus | West Germany | 1948 |  | 1972/1973/1974 French Open quarterfinalist
Mary-Ann Eisel | United States | 1946 |  | 1967 Wimbledon quarterfinalist
Silvia Farina Elia | Italy | 1972 |  | Ranked world No. 11 in singles in 2002 and world No. 24 in doubles in 1999
Sara Errani | Italy | 1987 |  | 
Chris Evert | United States | 1954 |  | 
Rosalyn (Fairbank) Nideffer | South Africa | 1960 |  | Ranked world No. 15 in singles in 1990 and world No. 12 in doubles in 1986 • 1981/1983 French Open women's doubles champion
Donna Floyd Fales | United States | 1940 |  | 1963 Wimbledon quarterfinalist • 1962 French Championships quarterfinalist
Patty Fendick | United States | 1965 |  | Ranked world No. 19 in singles and world No. 4 in doubles in 1989 • 1991 Australian Open women's doubles champion
Gigi Fernández | Puerto Rico | 1964 |  | Ranked world No. 17 in singles and world No. 1 in doubles in 1991 • 1988/1990/1992/1995/1996 US Open women's doubles champion • 1991/1992/1993/1994/1995/1997 French Open women's doubles champion • 1992/1993/1994/1997 Wimbledon women's doubles champion • 1993/1994 Australian Open women's doubles champion • 1992/1996 Olympic gold medalist in women's doubles
Mary Joe Fernandez | United States | 1971 |  | Ranked world No. 4 in singles in 1990 and world No. 4 in doubles in 1991 ◌ Singles: 1990/1992 Australian Open finalist • 1993 French Open finalist • 1991 Wimbledon semifinalist • 1990/1992 US Open semifinalist • 1992 Olympic bronze medalist ◌ Doubles: 1991 Australian Open champion • 1996 French Open champion • 1992/1996 Olympic gold medalist • 1996 WTA Finals champion
Joyce Fitch Rymer | Australia |  |  | 1946 Australian Championships women's doubles champion
Beverly Baker Fleitz | United States | 1930 |  | Ranked world No. 3 at the end of the year in 1954, 1955, and 1958 • 1955 French Championships women's doubles champion
Helen Fletcher Barker | United Kingdom | 1931 |  | Ranked world No. 8 at the end of the year in 1954 • 1954 Wimbledon quarterfinalist
Kirsten Flipkens | Belgium | 1986 |  | Ranked world No. 13 in 2013 • 2013 Wimbledon semifinalist
Amy Frazier | United States | 1972 |  | Ranked world No. 13 in singles in 1995 and world No. 24 in doubles in 1993
Shirley Fry Irvin | United States | 1927 |  | 
Bettina Fulco-Villella | Argentina | 1968 |  | Ranked world No. 23 in singles in 1988 and world No. 62 in doubles in 1991
Bonnie Gadusek | United States | 1963 |  | Ranked world No. 8 in 1984
Donna Ganz | United States | 1954 |  | 1975 French Open quarterfinalist
Tathiana Garbin | Italy | 1977 |  | Ranked world No. 22 in singles in 2007 and world No. 25 in doubles in 2001
Caroline Garcia | France | 1993 |  | Ranked world No. 4 in singles in 2018 and world No. 2 in doubles in 2016 • 2016 French Open women's doubles champion
Zina Garrison (Jackson) | United States | 1963 |  | Ranked world No. 4 in singles in 1989 and world No. 5 in doubles in 1988 • 1987 Australian Open mixed doubles champion • 1988/1990 Wimbledon mixed doubles champion
Daria Gavrilova | Australia | 1994 |  | Ranked world No. 20 in singles in 2017 and world No. 45 in doubles in 2017
Ruta Gerulaitis | United States | 1955 |  | 1979 French Open quarterfinalist
Althea Gibson | United States | 1927 | 2003 | 
Camila Giorgi | Italy | 1991 |  | 2018 Wimbledon quarterfinalist
Raquel Giscafré | Argentina | 1949 |  | 1974 French Open semifinalist
Kathleen McKane Godfree | United Kingdom | 1896 | 1992 | 
Elsie Goldsack Pittman | United Kingdom | 1904 | 1975 | Ranked world No. 10 at the end of the year in 1929 and 1931 • 1929 Wimbledon semifinalist
Tatiana Golovin | France | 1988 |  | Ranked world No. 12 in singles in 2008 and world No. 91 in doubles in 2007
Kate Gompert | United States | 1963 |  | Ranked world No. 18 in 1987
Evonne Goolagong Cawley | Australia | 1951 |  | 
Julia Görges | West Germany | 1988 |  | Ranked world No. 9 in singles in 2018 and world No. 12 in doubles in 2016 • 2018 Wimbledon semifinalist
Inés Gorrochategui | Argentina | 1973 |  | Ranked world No. 19 in singles in 1994 and world No. 9 in doubles in 1995
Eleanor Goss | United States |  |  | Ranked world No. 6 at the end of the year in 1923, 1924, and 1925 • 1918 U.S. Championships runner-up • 1918/1919/1920/1926 U.S. Championships women's doubles champion
Carole Caldwell Graebner | United States | 1943 | 2008 | Ranked world No. 4 at the end of the year in 1964 • 1965 U.S. Championships women's doubles champion • 1966 Australian Championships women's doubles champion
Steffi Graf | West Germany | 1969 |  | 
Rita Grande | Italy | 1975 |  | Ranked world No. 24 in singles and world No. 26 in doubles in 2001
Trudy Groenman | Netherlands | 1944 |  | 1966 Wimbledon quarterfinalist
Anna-Lena Grönefeld | West Germany | 1985 |  | Ranked world No. 14 in singles and world No. 7 in doubles in 2006 • 2009 Wimbledon mixed doubles champion • 2014 French Open mixed doubles champion
Jarmila (Gajdošová) Wolfe | Australia | 1987 |  | Ranked world No. 25 in singles in 2011 and world No. 51 in doubles in 2007 • 2013 Australian Open mixed doubles champion
Carly Gullickson | United States | 1986 |  | Ranked world No. 123 in singles in 2009 and world No. 52 in doubles in 2006 • 2009 US Open mixed doubles champion
Michèle Gurdal | Belgium | 1952 |  | Singles: 1979 Australian Open quarterfinalist
Melissa Gurney | United States | 1969 |  | Ranked world No. 17 in 1987
Karina Habšudová | Slovakia | 1973 |  | Ranked world No. 10 in 1997
Sabine Hack | Germany | 1969 |  | Ranked world No. 13 in singles in 1995 and world No. 94 in doubles in 1994
Julie Halard-Decugis | France | 1970 |  | Ranked world No. 7 in singles and world No. 1 in doubles in 2000 ◌ Singles: 1993/2000 Australian Open quarterfinalist • 1994 French Open quarterfinalist ◌ Doubles: 2000 US Open champion
Simona Halep | Romania | 1991 |  | 
Jamie Hampton | United States | 1990 |  | Ranked world No. 24 in singles in 2013
Sylvia Hanika | Germany | 1959 |  | Ranked world No. 5 in 1983
Daniela Hantuchová | Slovakia | 1983 |  | Ranked world No. 5 in singles in 2003 and in doubles in 2002 ◌ Mixed doubles: 2001 Wimbledon champion • 2002 Australian Open champion • 2005 French Open champion • 2005 US Open champion
Darlene Hard | United States | 1936 |  | 
Mary Hardwick | United Kingdom | 1913 | 2001 | Ranked world No. 8 at year-end in 1939 • 1939 Wimbledon quarterfinalist
Tanya Harford | South Africa | 1958 |  | 1981 French Open women's doubles champion
Anna McCune Harper | United States | 1902 | 1999 | 1931 Wimbledon mixed doubles champion • Top-ranked player in the United States in 1930
Kerry Harris | Australia | 1949 |  | 1972 Australian Open women's doubles champion
Betty Harrison | United Kingdom |  |  | 1950 Wimbledon quarterfinalist
Doris Hart | United States | 1925 | 2015 | 
Kathleen Harter | United States | 1946 |  | 1967 Wimbledon semifinalist
Linda Harvey-Wild | United States | 1971 |  | Ranked world No. 23 in singles and world No. 17 in doubles in 1996
Barbara Hawcroft | Australia | 1950 |  | 1972 Australian Open quarterfinalist
Marie Hazel |  |  |  | 1923 Wimbledon quarterfinalist
Mary Heeley | United Kingdom |  |  | Ranked world No. 6 at year-end in 1932 • 1932 Wimbledon semifinalist
Bobbie Heine Miller | South Africa | 1909 | 2016 | Ranked world No. 5 at year-end in 1929 • 1929 Wimbledon quarterfinalist • 1927 French Championships women's doubles champion
Julie Heldman | United States | 1945 |  | Ranked world No. 5 at year-end in 1969
Justine Henin | Belgium | 1982 |  | 
Betty Hilton | United Kingdom |  |  | Ranked world No. 6 at year-end in 1949 ◌ Singles: 1949 Wimbledon quarterfinalist • 1946 French quarterfinalist
Martina Hingis | Switzerland | 1980 |  | 
Rika Hiraki | Japan | 1971 |  | Ranked world No. 72 in singles and world No. 26 in doubles in 1997 • 1997 French Open mixed doubles champion
Andrea Hlaváčková | Czech Republic | 1986 |  | Ranked world No. 58 in singles and world No. 3 in doubles in 2012 ◌ Doubles: 2011 French Open champion • 2013 US Open champion • 2017 WTA Finals champion ◌ Mixed doubles: 2013 US Open champion
Jenny Hoad | Australia | 1934 |  | 1954 Australian Championships runner-up
Patti Hogan | United States | 1949 |  | 1972 Wimbledon quarterfinalist
Dorothy Holman | United Kingdom | 1883 |  1979 | 1912/1913 Wimbledon semifinalist • 1920 Olympic silver medalist in singles and women's doubles
Miroslava Holubova | Czechoslovakia |  |  | 1976 French Open quarterfinalist
Nell Hall Hopman | Australia | 1909 | 1968 | 1939/1947 Australian Championships runner-up • 1930/1936/1937/1939 Australian Championships mixed doubles champion • 1954 French Championships women's doubles champion
Marie Luise Horn | Germany |  |  | Ranked world No. 8 at year-end in 1932 and 1937 • 1936 Wimbledon quarterfinalist
Kathleen Horvath | United States | 1965 |  | Ranked world No. 10 in singles in 1984 and world No. 45 in doubles in 1988 ◌ Singles: 1983/1984 French Open quarterfinalist
Justina Bricka Horwitz | United States | 1943 |  | Singles: 1965 Wimbledon quarterfinalist
Lucie Hradecká | Czech Republic | 1985 |  | Ranked world No. 41 in singles and world No. 4 in doubles in 2012 ◌ Doubles: 2011 French Open champion • 2013 US Open champion
Hsieh Su-wei | Chinese Taipei | 1986 |  | Ranked world No. 23 in singles in 2013 and world No. 1 in doubles in 2014 ◌ Doubles: 2013 Wimbledon Champion • 2014 French Open champion • 2013 WTA Finals champion
Anke Huber | Germany | 1974 |  | Ranked world No. 4 in singles in 1996 and world No. 30 in doubles in 2000 ◌ Singles: 1996 Australian Open finalist • 1993 French Open semifinalist • 1999/2000 US Open quarterfinalist
Liezel (Horn) Huber | South Africa | 1976 |  | Ranked world No. 131 in singles in 1999 and world No. 1 in doubles in 2007 • 2005/2007 Wimbledon women's doubles champion • 2007 Australian Open women's doubles champion • 2008 US Open women's doubles champion • 2009 French Open mixed doubles champion • 2010 US Open mixed doubles champion
Lesley Hunt | Australia | 1950 |  | Ranked world No. 9 at year-end in 1974
Ana Ivanovic | Serbia | 1987 |  | 
Helen Jacobs | United States | 1908 | 1997 | 
Andrea Jaeger | United States | 1965 |  | Ranked world No. 3 at the end of the year in 1982 and 1983 • 1981 French Open mixed doubles champion
Jelena Janković | Serbia | 1985 |  | Ranked world No. 1 in singles at the end of the year in 2008 and world No. 43 in doubles in 2006 ◌ Singles: 2008 US Open finalist • 2007/2008/2010 French Open semifinalist • 2008 Australian Open semifinalist ◌ Mixed doubles: 2007 Wimbledon champion
Mima Jaušovec | Socialist Federal Republic of Yugoslavia | 1956 |  | 
Jadwiga Jędrzejowska | Poland | 1912 | 1980 | Ranked world No. 3 at year-end in 1937 • 1939 French Championships women's doubles champion
Marion Jessup | United States | 1897 | 1979 | Ranked world No. 8 at year-end in 1922 • 1919/1920 U.S. Championships runner-up • 1918/1919/1920/1921 U.S. Championships women's doubles champion • 1919 U.S. Championships mixed doubles champion • 1924 Olympic silver medalist in mixed doubles
Ann Haydon Jones | United Kingdom | 1938 |  | 
Marion Jones Farquhar | United States | 1879 | 1965 | 
Barbara Jordan | United States | 1957 |  | 
Kathy Jordan | United States | 1959 |  | Ranked world No. 5 in singles and world No. 6 in doubles in 1984 • 1980 French Open women's doubles champion • 1980/1985 Wimbledon women's doubles champion • 1981 Australian Open women's doubles champion • 1981 US Open women's doubles champion • 1986 French Open mixed doubles champion • 1986 Wimbledon mixed doubles champion
Yone Kamio | Japan | 1971 |  | Ranked world No. 24 in singles in 1995 and world No. 65 in doubles in 1994
Kaia Kanepi | Estonia | 1985 |  | Ranked world No. 15 in 2012
Carina Karlsson | Sweden | 1963 |  | 1984 Wimbledon quarterfinalist
Daria Kasatkina | Russia | 1997 |  | Ranked world No. 10 in singles in 2018 and world No. 43 in doubles in 2016
Helen Kelesi | Canada | 1969 |  | Ranked world No. 13 in singles in 1989 and world No. 26 in doubles in 1991
Angelique Kerber | Germany | 1988 |  | 
Madison Keys | United States | 1995 |  | Ranked world No. 9 in singles in 2016 ◌ Singles: 2017 US Open finalist • 2015 Australian Open semifinalist, 2018 quarterfinalist • 2015 Wimbledon quarterfinalist
Billie Jean King | United States | 1943 |  | 
Vania King | United States | 1989 |  | Ranked world No. 50 in singles in 2006 and world No. 4 in doubles in 2010 • 2010 Wimbledon women's doubles champion • 2010 US Open women's doubles champion
Maria Kirilenko | Russia | 1987 |  | Ranked world No. 10 in singles in 2008 and world No. 9 in doubles in 2011
Alisa Kleybanova | Russia | 1989 |  | Ranked world No. 20 in singles in 2011 and world No. 10 in doubles in 2010
Ilana Kloss | South Africa | 1956 |  | Ranked world No. 19 in singles in 1979 and world No. 1 in doubles in 1976
Dorothy Head Knode | United States | 1925 |  | Ranked world No. 5 at year-end in 1955 and 1957 • 1955/1957 French Championships runner-up
Claudia Kohde-Kilsch | Germany | 1963 |  | Ranked world No. 4 in 1985 • 1985 US Open women's doubles champion • 1987 Wimbledon women's doubles champion • 1988 Olympic bronze medalist in women's doubles
Zsuzsa Körmöczy | Hungary | 1924 | 2006 | 
Ana Konjuh | Croatia | 1997 |  | Ranked world No. 20 in singles in 2017
Johanna Konta | Australia | 1991 |  | Ranked world No. 9 in singles in 2016 • 2016 Australian open Semifinalist
Anett Kontaveit | Estonia | 1995 |  | Ranked world No. 20 in singles in 2018
Klára Koukalová | Czech Republic | 1982 |  | Ranked world No. 20 in singles in 2013 and world No. 31 in doubles in 2014
Anna Kournikova | Russia | 1981 |  | Ranked world No. 8 in singles in 2000 and world No. 1 in doubles in 1999 • 1999/2002 Australian Open women's doubles champion
Karen Krantzcke | Australia | 1946 | 1977 | Ranked world No. 9 at year-end in 1970 • 1970 French Open semifinalist • 1970/1977 Australian Open semifinalist • 1968 Australian Championships women's doubles champion
Lina Krasnoroutskaya | Russia | 1984 |  | Ranked world No. 25 in singles and world No. 22 in doubles in 2004
Anne Kremer | Luxembourg | 1975 |  | Ranked world No. 18 in singles in 2002
Joannette Kruger | South Africa | 1973 |  | Ranked world No. 21 in singles in 1998 and world No. 91 in doubles in 2002
Marise Kruger | South Africa | 1958 |  | 1978 Wimbledon quarterfinalist
Kathy Kuykendall | United States |  |  | 1976 French Open quarterfinalist
Svetlana Kuznetsova | Russia | 1985 |  | 
Petra Kvitová | Czech Republic | 1990 |  | 
Simone Laffargue | France |  |  | 1945 French Championships runner-up
Joan Fry | United Kingdom | 1906 | 1985 | Ranked world No. 7 at year-end in 1926 • 1925 Wimbledon runner-up
Dorothea Lambert Chambers | United Kingdom | 1878 | 1960 | 
Sylvia Lance Harper | Australia | 1895 |  | 
Nelly Adamson Landry | France | 1916 | 2010 | 
Ethel Thomson Larcombe | United Kingdom | 1879 | 1965 | 
Sylvana Lazzarino | Italy | 1933 |  | 1954 French Championships semifinalist
Andrea Leand | United States | 1964 |  | Ranked world No. 19 in 1983
Jan Lehane O'Neill | Australia | 1941 |  | Ranked world No. 7 at year-end in 1963 • 1960/1961/1962/1963 Australian Championships runner-up • 1960/1961 Australian Championships mixed doubles champion
Suzanne Lenglen | France | 1899 | 1938 | 
Varvara Lepchenko | Uzbekistan | 1986 |  | Ranked world No. 19 in singles 2012 and world No. 40 in doubles in 2013
Dorothy Levine | United States |  |  | 1954 French Championships quarterfinalist
Li Na | China | 1982 |  | 
Li Ting | China | 1980 |  | Ranked world No. 136 in singles in 2005 and world No. 19 in doubles in 2004 • Gold medalist in women's doubles at the 2004 Olympics
Elena Likhovtseva | Russia | 1975 |  | Ranked world No. 15 in singles in 1999 and world No. 3 in doubles in 2004 • 2002 Wimbledon mixed doubles champion • 2007 Australian Open mixed doubles champion
Catarina Lindqvist | Sweden | 1963 |  | Ranked world No. 10 in 1985
