List of male singles tennis players - Wikipedia 
=============================================== 

Name    |    Birth     |     Death     |     Nationality           |           Criteria for inclusion
Ross Case | 1951 | – | Australia | Ranked world no. 13 in 1976 ◌ Singles: 1974 Australian Open semifinalist ◌ Doubles: 1974 Australian Open champion • 1977 Wimbledon champion
Pat Cash | 1965 | – | Australia | 
Marco Cecchinato | 1992 | – | Italy | 2018 French Open semifinalist • ranked world no. 22 in 2018
František Cejnar | 1917 | 1965 | Czechoslovakia | 1937, 1938 French Championships singles quarterfinalist • 1938 Wimbledon singles quarterfinalist
Malcolm Chace | 1875 | 1955 | United States | 1894 United States semifinalist (drawsheets for other years unavailable)
Thierry Champion | 1966 | – | France | 1990 French Open quarterfinalist • 1991 Wimbledon quarterfinalist
Michael Chang | 1972 | – | United States | 
Jérémy Chardy | 1987 | – | France | 2013 Australian Open quarterfinalist • ranked world no. 25 in 2013
Juan Ignacio Chela | 1979 | – | Argentina | 2004/2011 French Open quarterfinalist • 2007 US Open quarterfinalist • ranked world no. 15 in 2004
Andrei Cherkasov | 1970 | – | Soviet Union | 1990 Australian Open quarterfinalist • 1990 U.S. Open quarterfinalist • ranked world no. 13 in 1991
Andrei Chesnokov | 1966 | – | Soviet Union | 1989 French Open semifinalist, 1986 and 1988 quarterfinalist • 1988 Australian Open quarterfinalist • ranked world no. 9 in 1991
Herbert Chipp | 1850 | 1903 | United Kingdom | 1884 Wimbledon singles semifinalist
Marin Čilić | 1988 | – | Croatia | 
Francisco Clavet | 1968 | – | Spain | Ranked world no. 18 in 1992
Arnaud Clément | 1977 | – | France | 2001 Australian Open finalist • 2000 US Open quarterfinalist • 2008 Wimbledon quarterfinalist • 2007 Wimbledon doubles champion (partnering Michaël Llodra) • ranked world no. 10 in 2001
José Luis Clerc | 1958 | – | Argentina | 1981 and 1982 French Open semifinalist • ranked world no. 4 in 1981
William Clothier | 1881 | 1962 | United States | 
Henri Cochet | 1901 | 1987 | France | 
Jimmy Connors | 1952 | – | United States | 
Elwood Cooke | 1913 | 2004 | United States | 1939 Wimbledon finalist • 1939 French semifinalist • 1945 United States semifinalist, 1940 and 1943 quarterfinalist
Ashley Cooper | 1936 | – | Australia | 
John Cooper | 1946 | – | Australia | 1971 and 1972 Australian Open quarterfinalist
Patricio Cornejo | 1944 | – | Chile | 1974 French Open quarterfinalist
Guillermo Coria | 1982 | – | Argentina | 2004 French Open finalist, 2003 semifinalist • 2003 and 2005 U.S. Open quarterfinalist • ranked world no. 3 in 2004
Àlex Corretja | 1974 | – | Spain | 1998/2001 French Open finalist, 2002 semifinalist, 1999/2000 quarterfinalist • 1996 US Open quarterfinalist • 1998 Masters champion • ranked world no. 2 in 1999
Albert Costa | 1975 | – | Spain | 
Carlos Costa | 1968 | – | Spain | Ranked world no. 10 in 1992
Jim Courier | 1970 | – | United States | 
Mark Cox | 1943 | – | United Kingdom | 1971 Australian Open quarterfinalist • ranked world no. 13 in 1977
Gottfried von Cramm | 1909 | 1976 | Germany | 
Jack Crawford | 1908 | 1991 | Australia | 
Dick Crealy | 1944 | – | Australia | 
Gianni Cucelli | 1916 | 1977 | Italy | 1947, 1948 and 1949 French Championships singles quarterfinalist
Pablo Cuevas | 1986 | – | Uruguay | 
Kevin Curren | 1958 | – | South Africa | 1984 Australian Open finalist • 1985 Wimbledon finalist, 1983 semifinalist, 1990 quarterfinalist • ranked world no. 5 in 1985
Sven Davidson | 1928 | 2008 | Sweden | 
Dwight Davis | 1879 | 1945 | United States | 
Scott Davis | 1962 | – | United States | 
Franco Davín | 1970 | – | Argentina | 1991 French Open quarterfinalist
Nikolay Davydenko | 1981 | – | Russia | 2005/2007 French Open semifinalist, 2006/2009 quarterfinalist • 2006/2007 U.S. Open semifinalist • 2005/2006/2007/2010 Australian Open quarterfinalist • 2009 Tour Finals champion, 2008 finalist, 2005 semifinalist • ranked world no. 3 in 2006
Max Decugis | 1882 | 1978 | France | 1911, 1912 Wimbledon singles semifinalist • winner of 1 Grand Slam doubles titles → 1911 Wimbledon doubles champion • 1906 Olympic gold medalist singles, doubles and mixed doubles • 1920 Olympic gold medalist mixed doubles
Juan Martín del Potro | 1988 | – | Argentina | 
Phil Dent | 1950 | – | Australia | 1974 Australian Open finalist, 1977(Jan) and 1979 quarterfinalist; 1968 Australian Championships quarterfinalist • 1977 French Open semifinalist • 1977 Wimbledon quarterfinalist • ranked world no. 17 in 1977
Taylor Dent | 1981 | – | United States | Ranked world no. 21 in 2005
Steve Denton | 1956 | – | United States | 1981 and 1982 Australian Open finalist • ranked world no. 12 in 1983
Bernard Destremau | 1917 | 2002 | France | 
Filip Dewulf | 1972 | – | Belgium | 1997 French Open semifinalist, 1998 quarterfinalist
Colin Dibley | 1944 | – | Australia | 1979 Australia Open semifinalist, 1973 quarterfinalist • 1971 and 1972 Wimbledon quarterfinalist
Eddie Dibbs | 1951 | – | United States | 1975 and 1976 French Open semifinalist, 1978 and 1979 quarterfinalist • 1975, 1976 and 1979 U.S. Open quarterfinalist • ranked world no. 5 in 1978
Mark Dickson | 1959 | – | United States | 1983 U.S. Open quarterfinalist
Keith Diepraam | 1942 | – | South Africa | 1965 Wimbledon quarterfinalist
Grigor Dimitrov | 1991 | – | Bulgaria | 2014 Wimbledon semifinalist • 2017 Australian Open semifinalist • ranked world no. 3 in November 2017 • 2017 Tour Finals champion
Charles P. Dixon | 1873 | 1939 | United Kingdom | 1901, 1911 Wimbledon finalist • winner of 3 Grand Slam doubles titles → 1912 Australian champion, 1912 and 1913 Wimbledon champion • 1912 Olympic gold medalist mixed doubles
Arnaud Di Pasquale | 1979 | – | France | 2000 Olympic bronze medalist
Novak Djokovic | 1987 | – | Serbia | 
John Doeg | 1908 | 1978 | United States | 
Laurence Doherty | 1875 | 1919 | United Kingdom | 
Reginald Doherty | 1872 | 1910 | United Kingdom | 
Alexandr Dolgopolov | 1988 | – | Ukraine | 2011 Australian Open quarterfinalist • ranked world no. 13 in 2012
Irvin Dorfman | 1926 | 2006 | United States | 1950 French Championships singles quarterfinalist
Sláva Doseděl | 1970 | – | Czech Republic | 1999 U.S. Open quarterfinalist
Stanley Doust | 1879 | 1961 | Australia | 1913 Wimbledon singles finalist • 1909 Wimbledon doubles finalist
Scott Draper | 1974 | – | Australia | 
Hendrik Dreekmann | 1975 | – | Germany | 1994 French Open quarterfinalist
Brad Drewett | 1958 | 2013 | Australia | 1975 Australian Open quarterfinalist
Jaroslav Drobný | 1921 | 2001 | Czechoslovakia | 
Cliff Drysdale | 1941 | – | South Africa | 
Robin Drysdale | 1952 | – | United Kingdom | 1977 (December) Australian Open quarterfinalist
Pat Du Pré | 1954 | – | United States | 1979 Wimbledon semifinalist • 1979 U.S. Open quarterfinalist • ranked world no. 14 in 1980
James Dwight | 1852 | 1917 | United States | 
Wilberforce Eaves | 1867 | 1920 | United Kingdom | 1895, 1896, 1897 Wimbledon finalist • 1897(Ch) U.S. Championships finalist • 1908 Olympic bronze medalist
Stefan Edberg | 1966 | – | Sweden | 
Mark Edmondson | 1954 | – | Australia | 
Kyle Edmund | 1995 | – | United Kingdom | 2018 Australian Open semifinalist • ranked world no. 16 in 2018
Younes El Aynaoui | 1971 | – | Morocco | 2000 and 2003 Australian Open quarterfinalist • 2002 and 2003 U.S. Open quarterfinalist • ranked world no. 14 in 2003
Ismail El Shafei | 1947 | – | Egypt | 1974 Wimbledon quarterfinalist
Jacco Eltingh | 1970 | – | Netherlands | 
Roy Emerson | 1936 | – | Australia | 
Thomas Enqvist | 1974 | – | Sweden | 1999 Australian Open finalist, 1996 quarterfinalist • 2001 Wimbledon quarterfinalist • ranked world no. 4 in 1999
Jonathan Erlich | 1977 | – | Israel | 
Nicolas Escudé | 1976 | – | France | 1998 Australian Open semifinalist • 1999 U.S. Open quarterfinalist • 2001 Wimbledon quarterfinalist • ranked world no. 17 in 2000
Lestocq Robert Erskine | 1857 | 1916 | United Kingdom | 1878 Wimbledon All Comers finalist
Kelly Evernden | 1961 | – | New Zealand | 1987 Australian Open quarterfinalist
Brian Fairlie | 1948 | – | New Zealand | Ranked world no. 24 in 1973
Robert Falkenburg | 1926 | – | United States | 
Roger Federer | 1981 | – | Switzerland | 
Peter Feigl | 1951 | – | Austria | 1978 Australian Open quarterfinalist
Wayne Ferreira | 1971 | – | South Africa | 1992 and 2003 Australian Open semifinalist • 1992 U.S. Open quarterfinalist • 1994 Wimbledon quarterfinalist • 1992 Olympic silver medalists • ranked world no. 6 in 1995
David Ferrer | 1982 | – | Spain | 2011/2013 Australian Open semifinalist, 2008/2012/2014/2016 quarterfinalist • 2013 French Open finalist, 2012 semifinalist, 2005/2008/2014/2015 quarterfinalsit • 2012/2013 Wimbledon quarterfinalist • 2007/2012 U.S. Open semifinalist, 2013 quarterfinalist  • 2007 Tour Finals finalist, 2011 semifinalist • ranked world no. 3 in 2013
Juan Carlos Ferrero | 1980 | – | Spain | 
Wojtek Fibak | 1952 | – | Poland | 1977 and 1980 French Open quarterfinalist • 1980 Wimbledon quarterfinalist • 1980 U.S. Open quarterfinalist
Marcelo Filippini | 1967 | – | Uruguay | 1999 French Open quarterfinalist
Jaime Fillol | 1946 | – | Chile | 1975 U.S. Open quarterfinalist • ranked world no. 14 in 1974
Mardy Fish | 1981 | – | United States | 2007 Australian Open quarterfinalist • 2008 U.S. Open quarterfinalist • 2011 Wimbledon quarterfinalist • 2004 Olympic single silver medalist • ranked world no. 7 in 2011
John Fitzgerald | 1960 | – | Australia | 
Ken Flach | 1963 | 2018 | United States | Winner of 4 Grand Slam doubles titles → 1985 and 1993 U.S. Open champion • 1987 and 1988 Wimbledon champion • ranked world no. 1 for 5 weeks → 2 weeks in 1985 and 3 in 1986
Herbie Flam | 1928 | 1980 | United States | 1950 United States finalist • 1951 and 1952 Wimbledon semifinalist • 1957 French finalist • rated world no. 5 in 1957
Peter Fleming | 1955 | – | United States | 
Fabio Fognini | 1987 | – | Italy | 
Gordon Forbes | 1934 | – | South Africa | 1962 United States quarterfinalist
Guy Forget | 1965 | – | France | 1991 and 1993 Australian Open quarterfinalist • 1991, 1992 and 1994 Wimbledon quarterfinalist
Željko Franulović | 1947 | – | Socialist Federal Republic of Yugoslavia | 1970 French Open finalist, 1971 semifinalist
 Neale Fraser | 1933 | – | Australia | 
Rod Frawley | 1952 | – | Australia | 1979 Australian Open quarterfinalist
Frank Froehling | 1942 | – | United States | 1971 French Open semifinalist • 1971 U.S. Open quarterfinalist
Otto Froitzheim | 1884 | 1962 | Germany | 1914 Wimbledon finalist • 1908 Olympic silver medalist
Richard Fromberg | 1970 | – | Australia | Ranked world no. 24 in 1990
Renzo Furlan | 1970 | – | Italy | 1995 French Open quarterfinalist • ranked world no. 19 in 1996
Patrick Galbraith | 1967 | – | United States | 
Jan-Michael Gambill | 1977 | – | United States | 2004 Wimbledon quarterfinalist • ranked world no. 14 in 2001
Guillermo García-López | 1983 | – | Spain | Ranked world no. 23 in 2011
Chuck Garland | 1898 | 1971 | United States | 
Richard Gasquet | 1986 | – | France | 
Andrea Gaudenzi | 1973 | – | Italy | Ranked world no. 18 in 1995
Gastón Gaudio | 1978 | – | Argentina | 
Vitas Gerulaitis | 1954 | 1994 | United States | 
Sam Giammalva | 1934 | – | United States | Singles: 1955 U.S. Championships quarterfinalist
Sammy Giammalva, Jr. | 1963 | – | United States | Singles: 1982 Australian Open quarterfinalist
Bob Giltinan | 1949 | – | Australia | Ranked world no. 16 in 1974 ◌ Singles: 1977(December) Australian Open semifinalist
Robby Ginepri | 1982 | – | United States | Ranked world no. 15 in 2005 ◌ 2005 U.S. Open semifinalist
Andrés Gimeno | 1938 | – | Spain | 
Juan Gisbert, Sr. | 1942 | – | Spain | 
Drew Gitlin | 1958 | – | United States | 1982 Australian Open quarterfinalist
Brad Gilbert | 1961 | – | United States | Ranked world no. 4 in 1990 ◌ Singles: 1987 U.S. Open quarterfinalist • 1990 Wimbledon quarterfinalist • 1988 Olympics bronze medalist
Hans Gildemeister | 1956 | – | Chile | Ranked world no. 12 in 1980 ◌ Singles: 1978/1979/1980 French Open quarterfinalist
Shlomo Glickstein | 1958 | – | Israel | Ranked world no. 22 in 1982 ◌ Singles: 1981 Australian Open quarterfinalist
William Glyn | 1860 | 1939 | United States | 1881 U.S. Championships singles finalist
André Gobert | 1890 | 1951 | France | 1912 Wimbledon singles finalist • winner of 1 Grand Slam doubles titles → 1911 Wimbledon doubles champion • 1912 Olympic gold medalist singles, doubles
David Goffin | 1990 | – | Belgium | Singles: 2016 French Open quarterfinalist • 2017 Australian Open quarterfinalist • Tour Finals finalist • ranked world no. 7 in 2017
Dan Goldie | 1963 | – | United States | 1989 Wimbledon quarterfinalist
Jérôme Golmard | 1973 | 2017 | France | Ranked world no. 22 in 1999
Andrés Gómez | 1960 | – | Ecuador | 
Pancho Gonzales | 1928 | 1995 | United States | 
Fernando González | 1980 | – | Chile | 
Vere St. Leger Goold | 1853 | 1909 | Ireland | 1879 Wimbledon finalist
Arthur Gore | 1868 | 1928 | United Kingdom | 
Spencer Gore | 1850 | 1906 | United Kingdom | 
Tom Gorman | 1946 | – | United States | 1971 Wimbledon semifinalist • 1972 U.S. Open semifinalist • 1973 French Open semifinalist • rated world no. 8 in 193
Brian Gottfried | 1952 | – | United States | 
Georges Goven | 1948 | – | France | 1970 French Open semifinalist
Jim Grabb | 1964 | – | United States | Ranked world no. 25 in 1985 – ranked doubles world no. 1 for 13 weeks → 1 week in 1989 and 6 in 1992, and 6 in 1993
Clark Graebner | 1943 | – | United States | 
Bryan Grant | 1910 | 1986 | United States | 1935 U.S. Open semifinalist • 1936, 1937 Wimbledon quarterfinalist • ranked world no. 6 in 1937
Colin Gregory | 1903 | 1959 | United Kingdom | 
Seymour Greenberg | 1920 | 2006 | United States | 1942, 1943, 1944, and 1945 U.S. National Championships quarterfinalist
Charles Walder Grinstead | 1860 | 1930 | United Kingdom | 
Sébastien Grosjean | 1978 | – | France | 2001 Australian Open semifinalist, 2003, 2004 and 2006 quarterfinalist • 2001 French Open semifinalist, 2002 quarterfinalist • 2003 and 2004 Wimbledon semifinalist, 2005 quarterfinalist • 2001 Tennis Masters Cup finalist • winner of 1 ATP Masters Series event • ranked world no. 4 in 2002
Ernests Gulbis | 1988 | – | Latvia | 2014 French Open semifinalist• ranked world no. 10 in 2014
Tim Gullikson | 1951 | 1996 | United States | 1979 Wimbledon quarterfinalist • ranked world no. 15 in 1979
Tom Gullikson | 1951 | – | United States | 
István Gulyás | 1931 | 2000 | Hungary | 1966 French finalist, 1971 quarterfinalist
Jan Gunnarsson | 1962 | – | Sweden | 1989 Australian Open semifinalist • ranked world no. 25 in 1985
Heinz Günthardt | 1959 | – | Switzerland | 1985 Wimbledon quarterfinalist • 1985 U.S. Open quarterfinalist • ranked world no. 22 in 1986
Magnus Gustafsson | 1967 | – | Sweden | 1994 Australian Open quarterfinalist • ranked world no. 10 in 1991
Paul Haarhuis | 1966 | – | Netherlands | 
Tommy Haas | 1978 | – | Germany | 2000 Olympic silver medalist • 1999/2002/2007 Australian Open semifinalist • 2009 Wimbledon semifinalist • 2004/2006/2007 U.S. Open quarterfinalist • 2013 French Open quarterfinalist • ranked world no. 2 in 2002
Harold Hackett | 1878 | 1937 | United States | 
Frank Hadow | 1855 | 1946 | United Kingdom | 
Edward L. Hall | 1872 | 1932 | United States | 
Valentine Hall | 1867 | 1934 | United States | 
Willoughby Hamilton | 1864 | 1943 | Ireland | 
Victor Hănescu | 1981 | – | Romania | 2005 French Open quarterfinalist
Charles Hare | 1915 | 1996 | United Kingdom | 1937 French Championships singles quarterfinalist, 1937 U.S. Championships singles quarterfinalist
Rodney Harmon | 1961 | – | United States | 1982 U.S. Open quarterfinalist
John Hartley | 1849 | 1935 | United Kingdom | 
John Hawkes | 1899 | 1990 | Australia | 
Charles Heathcote | 1841 | 1915 | United Kingdom | 1877 Wimbledon All-Comers semifinalist
Henner Henkel | 1915 | 1943 | Germany | 
Tim Henman | 1974 | – | United Kingdom | 1998, 1999, 2001 and 2002 Wimbledon semifinalist, 1996, 1997, 2003 and 2004 quarterfinalist • 2004 French Open semifinalist • 2004 U.S. Open semifinalist • ranked world no. 4 in 2002
John Hennessey | 1900 | 1981 | United States | 
Pierre-Hugues Herbert | 1991 | – | France | 
Bob Hewitt | 1940 | – | Australia | 
Lleyton Hewitt | 1981 | – | Australia | 
José Higueras | 1953 | – | Spain | 1982 and 1983 French Open semifinalist, 1977 and 1979 quarterfinalist - ranked world no. 6 in 1983
Jakob Hlasek | 1964 | – | Switzerland | 
Lew Hoad | 1934 | 1994 | Australia | 
Clarence Hobart | 1870 | 1930 | United States | 
Henrik Holm | 1968 | – | Sweden | Ranked world no. 17 in 1993
Ronald Holmberg | 1938 | – | United States | 1959 U.S. Championships singles semifinalist • 1961 French Championships singles quarterfinalist • ranked world no. 7 in 1960
Greg Holmes | 1963 | – | United States | Ranked world no. 22 in 1985
Chip Hooper | 1958 | – | United States | Ranked world no. 17 in 1982
Harry Hopman | 1906 | 1985 | Australia | 
Luis Horna | 1980 | – | Peru | 
Fred Hovey | 1868 | 1945 | United States | 
G. Turner Howard III | 1947 | - | United States | Appeared in the first rounds of the 1966, 1970 and 1971 US Open
Dominik Hrbatý | 1978 | – | Slovakia | 1999 French Open semifinalist • 2001 and 2005 Australian Open quarterfinalist • 2004 U.S. Open quarterfinalist • ranked world no. 12 in 2004
Jiří Hřebec | 1950 | – | Czechoslovakia | Ranked world no. 25 in 1974
Pat Hughes | 1902 | 1997 | United Kingdom | 
Joe Hunt | 1919 | 1945 | United States | 
Frank Hunter | 1894 | 1981 | United States | 1923 Wimbledon finalist • 1928 and 1929 United States finalist
Stephen Huss | 1975 | – | Australia | 
John Isner | 1985 | – | United States | 2018 Wimbledon semifinalist • 2011/2018 U.S. Open quarterfinalist • ranked world no. 8 in 2018
Goran Ivanišević | 1971 | – | Socialist Federal Republic of Yugoslavia | 
Sydney Jacob | 1879 | 1977 | India | 1925 French Championships singles semifinalist, 1925 Wimbledon singles quarterfinalist
Martín Jaite | 1964 | – | Argentina | 1985 French Open quarterfinalist • ranked world no. 10 in 1990
François Jauffret | 1942 | – | France | 1974 French Open semifinalist, 1970 quarterfinalist; 1966 French Championships semifinalist • ranked world no. 20 in 1974
Anders Järryd | 1961 | – | Sweden | 
Joachim Johansson | 1982 | – | Sweden | 2004 U.S. Open semifinalist • ranked world no. 9 in 2005
Thomas Johansson | 1975 | – | Sweden | 
Donald Johnson | 1968 | – | United States | 
Bill Johnston | 1894 | 1946 | United States | 
Kelly Jones | 1964 | – | United States | Ranked doubles world no. 1 for 1 week, in 1992
Boro Jovanović | 1939 | – | Socialist Federal Republic of Yugoslavia | 1968 French Open quarterfinalist
Yevgeny Kafelnikov | 1974 | – | Russia | 
Bernd Karbacher | 1968 | – | Germany | 1996 French Open quarterfinalist • 1996 US Open quarterfinalist • ranked world no. 22 in 1995
Ivo Karlović | 1979 | – | Croatia | 2009 Wimbledon quarterfinalist • ranked world no. 14 in 2008
Béla von Kehrling | 1891 | 1937 | Hungary | 1926, 1929 French Championships quarterfinalist • 1929 Wimbledon quarterfinalist
Karen Khachanov | 1996 | – | Russia | • ranked world no. 9 in 2019
Nicolas Kiefer | 1977 | – | Germany | 2006 Australian Open semifinalist, 1998/2000 quarterfinalist • 1997 Wimbledon quarterfinalist • 2000 U.S. Open quarterfinalist • 2004 Olympic doubles silver medalist partnering Rainer Schüttler • 1999 Tour Finals semifinalist • ranked world No 4 in 2000
Howard Kinsey | 1899 | 1966 | United States | 1926 Wimbledon singles finalist • winner of 2 Grand Slam doubles titles → 1924 French champion, 1926 US champion • 1926 Wimbledon mixed doubles finalist
Algernon Kingscote | 1888 | 1964 | United Kingdom | 
