List of Arizona Coyotes players - Wikipedia
===========================================
Skaters
_______
Player     |     Years     
Jeff Hoggan | 2008–2010
Benoit Hogue | 1999–2000
Peter Holland | 2016–2017
Ryan Hollweg | 2010–2011
Darcy Hordichuk | 2001–2003
Marcel Hossa | 2007–2008
Jan Hrdina | 2002–2004
Mike Hudson | 1996–1997
Brett Hull | 2005–2006
Cale Hulse | 2003–2004
Jamie Huscroft | 1998–1999
Brad Isbister | 1997–1999
Tim Jackman | 2005–2006
Craig Janney | 1996–1998
Mark Janssens | 1997–1998
Jason Jaspers | 2001–2004
James Johnson | 1996–1998
Mike Johnson | 2000–2006
Nick Johnson | 2012–2013
Olli Jokinen | 2008–2009
Jean-Francois Jomphe | 1998–1999
Matt Jones | 2005–2008
Josh Jooris | 2016–2017
Chris Joseph | 1999–2001
Ed Jovanovski | 2006–2011
Joseph Juneau | 2000–2001
Niko Kapanen | 2006–2008
Clayton Keller | 2016–2019
Mario Kempe | 2017–2019
Tim Kennedy | 2013–2014
Chad Kilger | 1996–1998
Kris King | 1996–1997
Ken Klee | 2008–2009
Rostislav Klesla | 2010–2014
Rob Klinkhammer | 2012–2015
Krys Kolanos | 2001–2006
Igor Korolev | 1996–1997
Lauri Korpikoski | 2009–2015
Oleg Kvasha | 2005–2006
Robert Lang | 2009–2010
Daymond Langkow | 2001–2012
Georges Laraque | 2006–2007
Stephen Leach | 1998–1999
Mike Leclerc | 2005–2006
Yanick Lehoux | 2005–2007
Claude Lemieux | 2000–2003
Jocelyn Lemieux | 1996–1998
Sami Lepisto | 2009–2011
Lucas Lessio | 2013–2015
Trevor Letowski | 1998–2002
Scott Levins | 1997–1998
Joakim Lindstrom | 2008–2009
Enver Lisin | 2006–2009
Matthew Lombardi | 2008–2013
Jyrki Lumme | 1998–2001
Jamie Lundmark | 2005–2006
Ilya Lyubushkin | 2018–2019
Norm MacIver | 1996–1998
Brett MacLean | 2010–2011
Donald MacLean | 2006–2007
Dave Manson | 1996–1997
Paul Mara | 2000–2006
Danny Markov | 2001–2003
Jordan Martinook | 2014–2018
Brad May | 2000–2003
Jamie McBain | 2016–2017
Brad McCrimmon | 1996–1997
Jamie McGinn | 2016–2017
Tye McGinn | 2014–2015
Jim McKenzie | 1996–1998
Brandon McMillan | 2013–2015
Nick Merkley | 2017–2018
Dakota Mermis | 2017–2019
Freddy Meyer | 2007–2008
Zbynek Michalek | 2005–2017
Andy Miele | 2011–2014
John Moore | 2014–2015
Jayson More | 1996–1998
Derek Morris | 2003–2014
David Moss | 2012–2015
Peter Mueller | 2007–2010
Matt Murley | 2007–2008
Connor Murphy | 2013–2017
Trevor Murphy | 2017–2018
Garth Murray | 2008–2009
Rob Murray | 1998–1999
Ladislav Nagy | 2000–2007
Tyson Nash | 2003–2006
Andrei Nazarov | 2001–2004
Stan Neckar | 1998–2001
Petr Nedved | 2005–2006
Alexander Nikulin | 2008–2009
Petteri Nokelainen | 2009–2012
Owen Nolan | 2006–2007
Brian Noonan | 1998–1999
Ivan Novoseltsev | 2003–2004
Teppo Numminen | 1996–2003
Lyle Odelein | 1999–2000
Sean O'Donnell | 2005–2006
Jordan Oesterle | 2018–2019
David Oliver | 1999–2000
Cal O'Reilly | 2011–2012
Patrick O'Sullivan | 2011–2012
Richard Panik | 2017–2019
Denis Pederson | 2001–2002
Scott Pellerin | 2002–2003
Brendan Perlini | 2016–2019
Joel Perrault | 2005–2010
Yanic Perreault | 2006–2007
Michel Petit | 1997–1998
Kevin Porter | 2008–2010
Marc-Antoine Pouliot | 2011–2012
Petr Prucha | 2008–2011
Brandon Prust | 2008–2009
Teemu Pulkkinen | 2016–2017
Taylor Pyatt | 2009–2012
Deron Quint | 1996–2003
Branko Radivojevic | 2001–2004
Brad Ralph | 2000–2001
Paul Ranheim | 2002–2003
Dylan Reese | 2014–2015
Robert Reichel | 1998–1999
Steve Reinprecht | 2005–2009
Todd Reirden | 2003–2004
Mikael Renberg | 1999–2000
Pascal Rheaume | 2005–2006
Mike Ribeiro | 2013–2014
Mike Ricci | 2005–2007
Brad Richardson | 2015–2019
Tobias Rieder | 2014–2018
Zac Rinaldo | 2017–2018
Jamie Rivers | 2005–2006
Travis Roche | 2006–2007
Jeremy Roenick | 1996–2007
Cliff Ronning | 1996–1999
Michal Rozsival | 2010–2012
David Rundblad | 2011–2014
Mike Rupp | 2003–2006
Kirill Safronov | 2001–2002
Henrik Samuelsson | 2014–2015
Philip Samuelsson | 2014–2015
Geoff Sanderson | 2005–2006
Oleg Saprykin | 2005–2007
Kurt Sauer | 2008–2010
Brian Savage | 2001–2004
Kevin Sawyer | 1999–2000
Dave Scatchard | 2005–2007
Luke Schenn | 2016–2018
David Schlemko | 2008–2015
Nick Schmaltz | 2018–2019
Mathieu Schneider | 2009–2010
Dennis Seidenberg | 2005–2007
Darrin Shannon | 1996–1998
Brendan Shinnimin | 2014–2015
Mike Sillinger | 2003–2004
Jason Simon | 1996–1997
Todd Simpson | 2000–2003
Fredrik Sjostrom | 2003–2008
John Slaney | 1997–1998
Wyatt Smith | 1999–2002
Matthew Spiller | 2003–2006
Garrett Stafford | 2010–2011
Mike Stapleton | 1996–1999
Lee Stempniak | 2009–2011
Derek Stepan | 2017–2019
Michael Stone | 2011–2017
Dylan Strome | 2016–2019
Mike Stutzel | 2003–2004
Radoslav Suchy | 1999–2004
Michael Sullivan | 1998–2002
Steve Sullivan | 2012–2013
Chris Summers | 2010–2015
Jordan Szwarz | 2013–2015
Jeff Taffe | 2002–2007
David Tanabe | 2003–2006
Bill Thomas | 2005–2008
Brent Thompson | 1996–1997
Viktor Tikhonov | 2008–2009
Brad Tiley | 1997–1999
Mathias Tjarnqvist | 2006–2008
Keith Tkachuk | 1996–2001
Rick Tocchet | 1997–2000
Raffi Torres | 2011–2013
Jean-Guy Trudel | 1999–2002
Kyle Turris | 2007–2012
Oleg Tverdovsky | 1996–1999
Scottie Upshall | 2008–2011
Ossi Vaananen | 2000–2004
Jim Vandermeer | 2009–2010
Pete Vandermeer | 2007–2008
Andrei Vasilyev | 1998–1999
Antoine Vermette | None
Joe Vitale | 2014–2015
Radim Vrbata | None
Todd Warriner | 2001–2002
Matt Watkins | 2011–2012
Jordan Weal | 2018–2019
Craig Weller | 2007–2008
Erik Westrum | 2003–2004
Ryan White | 2016–2017
Ray Whitney | 2010–2012
Landon Wilson | 2000–2004
Daniel Winnik | 2007–2010
Wojtek Wolski | 2009–2011
Keith Yandle | 2006–2015
Brandon Yip | 2013–2014
Juha Ylonen | 1996–2001
Nolan Yonkman | 2010–2011
Mike York | 2007–2008
Mike Zigomanis | 2006–2008


Goaltenders
___________
Player     |     Years
David Aebischer | 2007–2008
Alex Auld | 2007–2008
Zac Bierk | 2002–2004
Brian Boucher | 2002–2006
Ilya Bryzgalov | 2007–2011
Sean Burke | 1999–2004
Matt Climie | 2010–2011
Devan Dubnyk | 2014–2015
Parris Duffus | 1996–1997
Robert Esche | 1998–2002
Bob Essensa | 1999–2000
Thomas Greiss | 2013–2014
Pat Jablonski | 1996–1997
Brent Johnson | 2003–2004
Chad Johnson | 2012–2013
Curtis Joseph | 2005–2007
Nikolai Khabibulin | 1996–1999
Jason LaBarbera | 2009–2013
Marek Langhamer | 2016–2018
Scott Langkow | 1997–1999
David Leneveu | 2005–2007
Curtis McElhinney | 2011–2012
Mike McKenna | 2014–2015
Al Montoya | 2008–2009
Michael Morrison | 2006–2007
Jean-Marc Pelletier | 2002–2004
Justin Peters | 2016–2017
Philippe Sauve | 2005–2006
Mikhail Shtalenkov | 1998–2000
Mike Smith | 2011–2017
Mikael Tellqvist | 2006–2009
Josh Tordjman | 2008–2009
Mark Visentin | 2013–2015
Jimmy Waite | 1997–1999


Total Goaltenders: 34
Total Skaters: 319
